
 !***TRACE Bacon number     1 on file (43)***

 I         158 X  5.16576E+02 Y  6.39040E+01 Z  1.25000E+01 AT           0
 I         159 X  5.50000E+02 Y  2.44482E+01 Z  0.00000E+00 AT           0
 I         160 X  5.48907E+02 Y  3.37357E+01 Z  0.00000E+00 AT           0
 I         161 X  5.45688E+02 Y  4.25133E+01 Z  0.00000E+00 AT           0
 I         162 X  5.40520E+02 Y  5.03044E+01 Z  0.00000E+00 AT           0
 I         163 X  5.33684E+02 Y  5.66827E+01 Z  0.00000E+00 AT           0
 I         164 X  5.25555E+02 Y  6.12999E+01 Z  0.00000E+00 AT           0
 I         165 X  5.16576E+02 Y  6.39040E+01 Z  0.00000E+00 AT           0
 I         173 X  5.16576E+02 Y  6.39040E+01 Z  1.87500E+02 AT           0
 I         174 X  5.33685E+02 Y  5.66820E+01 Z  1.87500E+02 AT           0
 I         175 X  5.45689E+02 Y  4.25123E+01 Z  1.87500E+02 AT           0
 I         176 X  5.50000E+02 Y  2.44482E+01 Z  1.87500E+02 AT           0
 I         177 X  5.16576E+02 Y  6.39040E+01 Z  2.00000E+02 AT           0
 I         178 X  5.25556E+02 Y  6.12997E+01 Z  2.00000E+02 AT           0
 I         179 X  5.33685E+02 Y  5.66820E+01 Z  2.00000E+02 AT           0
 I         180 X  5.40521E+02 Y  5.03034E+01 Z  2.00000E+02 AT           0
 I         181 X  5.45689E+02 Y  4.25123E+01 Z  2.00000E+02 AT           0
 I         182 X  5.48907E+02 Y  3.37352E+01 Z  2.00000E+02 AT           0
 I         183 X  5.50000E+02 Y  2.44482E+01 Z  2.00000E+02 AT           0
 I         205 X  5.08979E+02 Y  6.51701E+01 Z  2.50000E+01 AT           0
 I         206 X  5.08979E+02 Y  6.51701E+01 Z  4.00000E+01 AT           0
 I         207 X  5.08979E+02 Y  6.51701E+01 Z  5.50000E+01 AT           0
 I         208 X  5.08979E+02 Y  6.51701E+01 Z  7.00000E+01 AT           0
 I         209 X  5.08979E+02 Y  6.51701E+01 Z  8.50000E+01 AT           0
 I         210 X  5.08979E+02 Y  6.51701E+01 Z  1.00000E+02 AT           0
 I         211 X  5.08979E+02 Y  6.51701E+01 Z  1.15000E+02 AT           0
 I         212 X  5.08979E+02 Y  6.51701E+01 Z  1.30000E+02 AT           0
 I         213 X  5.08979E+02 Y  6.51701E+01 Z  1.45000E+02 AT           0
 I         214 X  5.08979E+02 Y  6.51701E+01 Z  1.60000E+02 AT           0
 I         215 X  5.08979E+02 Y  6.51701E+01 Z  1.75000E+02 AT           0
 I         216 X  5.01383E+02 Y  6.64362E+01 Z  2.50000E+01 AT           0
 I         217 X  5.01383E+02 Y  6.64362E+01 Z  3.25000E+01 AT           0
 I         218 X  5.01383E+02 Y  6.64362E+01 Z  4.00000E+01 AT           0
 I         219 X  5.01383E+02 Y  6.64362E+01 Z  4.75000E+01 AT           0
 I         220 X  5.01383E+02 Y  6.64362E+01 Z  5.50000E+01 AT           0
 I         221 X  5.01383E+02 Y  6.64362E+01 Z  6.25000E+01 AT           0
 I         222 X  5.01383E+02 Y  6.64362E+01 Z  7.00000E+01 AT           0
 I         223 X  5.01383E+02 Y  6.64362E+01 Z  7.75000E+01 AT           0
 I         224 X  5.01383E+02 Y  6.64362E+01 Z  8.50000E+01 AT           0
