
 !***TRACE Bacon number     1 on file (47)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------------------------
 | Nodes |           Displ.(X,Y,Z)(1.3)           |
 |   271 | -2.13398E-02 -1.04711E-01 -9.74335E-02 |
 |   272 | -1.44345E-02 -7.09483E-02 -9.74102E-02 |
 |   273 | -7.26979E-03 -3.57030E-02 -9.73752E-02 |
 |   274 |  2.70367E-05  2.22286E-04 -9.73646E-02 |
 |   275 |  7.31631E-03  3.61085E-02 -9.73842E-02 |
 |   276 |  1.44592E-02  7.12472E-02 -9.74297E-02 |
 |   277 |  2.13348E-02  1.04874E-01 -9.74640E-02 |
 |   278 |  2.79302E-02  1.36437E-01 -9.73965E-02 |
 |   279 |  3.44083E-02  1.65970E-01 -9.71453E-02 |
 |   280 | -3.52618E-02 -1.68779E-01 -9.54312E-02 |
 |   281 | -3.19071E-02 -1.53840E-01 -9.55304E-02 |
 |   282 | -2.85524E-02 -1.38901E-01 -9.56297E-02 |
 |   283 | -2.51315E-02 -1.22735E-01 -9.56533E-02 |
 |   284 | -2.17106E-02 -1.06570E-01 -9.56768E-02 |
 |   285 | -1.81785E-02 -8.93820E-02 -9.56694E-02 |
 |   286 | -1.46464E-02 -7.21938E-02 -9.56619E-02 |
 |   287 | -1.10077E-02 -5.42704E-02 -9.56448E-02 |
 |   288 | -7.36891E-03 -3.63470E-02 -9.56276E-02 |
 |   289 | -3.67232E-03 -1.80655E-02 -9.56220E-02 |
 |   290 |  2.42705E-05  2.15987E-04 -9.56164E-02 |
 |   291 |  3.71888E-03  1.84790E-02 -9.56262E-02 |
 |   292 |  7.41348E-03  3.67419E-02 -9.56361E-02 |
 |   293 |  1.10404E-02  5.46173E-02 -9.56573E-02 |
 |   294 |  1.46673E-02  7.24926E-02 -9.56786E-02 |
 |   295 |  1.81908E-02  8.96196E-02 -9.56882E-02 |
 |   296 |  2.17143E-02  1.06747E-01 -9.56978E-02 |
 |   297 |  2.51293E-02  1.22859E-01 -9.56726E-02 |
 |   298 |  2.85443E-02  1.38971E-01 -9.56475E-02 |
 |   299 |  3.19088E-02  1.53882E-01 -9.55490E-02 |
 |   300 |  3.52733E-02  1.68792E-01 -9.54506E-02 |
 |   301 | -3.59691E-02 -1.71525E-01 -9.37194E-02 |
 |   302 | -2.90884E-02 -1.41438E-01 -9.38580E-02 |
 |   303 | -2.20777E-02 -1.08526E-01 -9.38890E-02 |
 |   304 | -1.48671E-02 -7.34829E-02 -9.38738E-02 |
 |   305 | -7.47339E-03 -3.69935E-02 -9.38482E-02 |
 |   306 |  2.20164E-05  1.99957E-04 -9.38386E-02 |
 |   307 |  7.51134E-03  3.73612E-02 -9.38547E-02 |
 |   308 |  1.48886E-02  7.37651E-02 -9.38859E-02 |
