
 !***TRACE Bacon number     1 on file (49)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------
 | Elements | V. Mises:U.S(2.1) |
 |      339 |       1.89353E+01 |
 |      340 |       2.00762E+01 |
 |      341 |       2.05812E+01 |
 |      342 |       2.05811E+01 |
 |      343 |       2.00758E+01 |
 |      344 |       1.89347E+01 |
 |      345 |       1.68541E+01 |
 |      346 |       1.31820E+01 |
 |      347 |       1.36847E+01 |
 |      348 |       1.70354E+01 |
 |      349 |       1.91295E+01 |
 |      350 |       2.02948E+01 |
 |      351 |       2.08083E+01 |
 |      352 |       2.08083E+01 |
 |      353 |       2.02946E+01 |
 |      354 |       1.91292E+01 |
 |      355 |       1.70342E+01 |
 |      356 |       1.36790E+01 |
 |      357 |       1.50824E+01 |
 |      358 |       1.74568E+01 |
 |      359 |       1.91992E+01 |
 |      360 |       2.02122E+01 |
 |      361 |       2.06497E+01 |
 |      362 |       2.06496E+01 |
 |      363 |       2.02121E+01 |
 |      364 |       1.91991E+01 |
 |      365 |       1.74561E+01 |
 |      366 |       1.50810E+01 |
 |      367 |       1.67621E+01 |
 |      368 |       1.80449E+01 |
 |      369 |       1.91275E+01 |
 |      370 |       1.97579E+01 |
 |      371 |       2.00678E+01 |
 |      372 |       2.00678E+01 |
 |      373 |       1.97579E+01 |
 |      374 |       1.91275E+01 |
 |      375 |       1.80450E+01 |
 |      376 |       1.67631E+01 |
 |      377 |       1.85489E+01 |
 |      378 |       1.85457E+01 |
 |      379 |       1.86601E+01 |
 |      380 |       1.89082E+01 |
 |      381 |       1.90337E+01 |
 |      382 |       1.90337E+01 |
 |      383 |       1.89082E+01 |
 |      384 |       1.86604E+01 |
 |      385 |       1.85465E+01 |
 |      386 |       1.85502E+01 |
 |      387 |       1.98029E+01 |
 |      388 |       1.81395E+01 |
 |      389 |       1.76930E+01 |
 |      390 |       1.75924E+01 |
 |      391 |       1.76035E+01 |
 |      392 |       1.76035E+01 |
 |      393 |       1.75926E+01 |
 |      394 |       1.76935E+01 |
 |      395 |       1.81404E+01 |
 |      396 |       1.98050E+01 |
 |      397 |       1.82061E+01 |
 |      398 |       1.66511E+01 |
 |      399 |       1.61067E+01 |
 |      400 |       1.59766E+01 |
 |      401 |       1.59839E+01 |
 |      402 |       1.59840E+01 |
 |      403 |       1.59769E+01 |
 |      404 |       1.61073E+01 |
 |      405 |       1.66523E+01 |
 |      406 |       1.82071E+01 |
 |      407 |       1.80723E+01 |
 |      408 |       1.25730E+01 |
 |      409 |       8.63171E+00 |
 |      410 |       6.82603E+00 |
 |      411 |       5.47834E+00 |
 |      412 |       5.03828E+00 |
 |      413 |       5.05924E+00 |
 |      414 |       4.57115E+00 |
 |      415 |       4.05304E+00 |
 |      416 |       4.33510E+00 |
 |      417 |       4.24354E+00 |
 |      418 |       4.14433E+00 |
 |      419 |       3.96267E+00 |
 |      420 |       3.89775E+00 |
 |      421 |       3.77273E+00 |
 |      422 |       3.68507E+00 |
 |      423 |       3.65047E+00 |
 |      424 |       3.59676E+00 |
 |      425 |       3.54949E+00 |
 |      426 |       3.48150E+00 |
 |      427 |       3.42090E+00 |
